pref,city,sex,count
北海道,野付郡別海町,女,7155
北海道,標津郡中標津町,計,22978
北海道,標津郡中標津町,男,11303
北海道,標津郡中標津町,女,11675
北海道,標津郡標津町,計,5056
北海道,標津郡標津町,男,2459
北海道,標津郡標津町,女,2597
北海道,目梨郡羅臼町,計,4595
北海道,目梨郡羅臼町,男,2287
北海道,目梨郡羅臼町,女,2308
北海道,色丹郡色丹村,計,0
北海道,色丹郡色丹村,男,0
北海道,色丹郡色丹村,女,0
北海道,国後郡泊村,計,0
北海道,国後郡泊村,男,0
北海道,国後郡泊村,女,0
北海道,国後郡留夜別村,計,0
北海道,国後郡留夜別村,男,0
北海道,国後郡留夜別村,女,0
北海道,択捉郡留別村,計,0
北海道,択捉郡留別村,男,0
北海道,択捉郡留別村,女,0
北海道,紗那郡紗那村,計,0
北海道,紗那郡紗那村,男,0
北海道,紗那郡紗那村,女,0
北海道,蘂取郡蘂取村,計,0
北海道,蘂取郡蘂取村,男,0
北海道,蘂取郡蘂取村,女,0
青森県,-,計,1243081
青森県,-,男,589143
青森県,-,女,653938
青森県,青森市,計,275099
青森県,青森市,男,128254
青森県,青森市,女,146845
青森県,弘前市,計,166385
青森県,弘前市,男,76867
青森県,弘前市,女,89518
青森県,八戸市,計,223434
青森県,八戸市,男,106925
青森県,八戸市,女,116509
青森県,黒石市,計,31975
青森県,黒石市,男,14993
青森県,黒石市,女,16982
青森県,五所川原市,計,52432
青森県,五所川原市,男,24092
青森県,五所川原市,女,28340
青森県,十和田市,計,59666
青森県,十和田市,男,28634
青森県,十和田市,女,31032
青森県,三沢市,計,38744
青森県,三沢市,男,19298
青森県,三沢市,女,19446
青森県,むつ市,計,54967
青森県,むつ市,男,26817
青森県,むつ市,女,28150
青森県,つがる市,計,30777
青森県,つがる市,男,14433
青森県,つがる市,女,16344
青森県,平川市,計,30505
青森県,平川市,男,14352
青森県,平川市,女,16153
青森県,東津軽郡,計,21017
青森県,東津軽郡,男,10081
青森県,東津軽郡,女,10936
青森県,東津軽郡平内町,計,10422
青森県,東津軽郡平内町,男,4990
青森県,東津軽郡平内町,女,5432
青森県,東津軽郡今別町,計,2426
青森県,東津軽郡今別町,男,1173
青森県,東津軽郡今別町,女,1253
青森県,東津軽郡蓬田村,計,2648
青森県,東津軽郡蓬田村,男,1282
青森県,東津軽郡蓬田村,女,1366
青森県,東津軽郡外ヶ浜町,計,5521
青森県,東津軽郡外ヶ浜町,男,2636
青森県,東津軽郡外ヶ浜町,女,2885
青森県,西津軽郡,計,16773
青森県,西津軽郡,男,7890
青森県,西津軽郡,女,8883
青森県,西津軽郡鰺ヶ沢町,計,9235
青森県,西津軽郡鰺ヶ沢町,男,4317
青森県,西津軽郡鰺ヶ沢町,女,4918
青森県,西津軽郡深浦町,計,7538
青森県,西津軽郡深浦町,男,3573
青森県,西津軽郡深浦町,女,3965
青森県,中津軽郡,計,1301
青森県,中津軽郡,男,608
青森県,中津軽郡,女,693
青森県,中津軽郡西目屋村,計,1301
青森県,中津軽郡西目屋村,男,608
青森県,中津軽郡西目屋村,女,693
青森県,南津軽郡,計,31229
青森県,南津軽郡,男,14598
青森県,南津軽郡,女,16631
青森県,南津軽郡藤崎町,計,14704
青森県,南津軽郡藤崎町,男,6894
青森県,南津軽郡藤崎町,女,7810
青森県,南津軽郡大鰐町,計,8947
青森県,南津軽郡大鰐町,男,4098
青森県,南津軽郡大鰐町,女,4849
青森県,南津軽郡田舎館村,計,7578
青森県,南津軽郡田舎館村,男,3606
青森県,南津軽郡田舎館村,女,3972
青森県,北津軽郡,計,35503
青森県,北津軽郡,男,16538
青森県,北津軽郡,女,18965
青森県,北津軽郡板柳町,計,12987
青森県,北津軽郡板柳町,男,5978
青森県,北津軽郡板柳町,女,7009
青森県,北津軽郡鶴田町,計,12238
青森県,北津軽郡鶴田町,男,5729
青森県,北津軽郡鶴田町,女,6509
青森県,北津軽郡中泊町,計,10278
青森県,北津軽郡中泊町,男,4831
青森県,北津軽郡中泊町,女,5447
青森県,上北郡,計,95046
青森県,上北郡,男,46459
青森県,上北郡,女,48587
青森県,上北郡野辺地町,計,12646
青森県,上北郡野辺地町,男,5924
青森県,上北郡野辺地町,女,6722
青森県,上北郡七戸町,計,14911
青森県,上北郡七戸町,男,7147
青森県,上北郡七戸町,女,7764
青森県,上北郡六戸町,計,10913
青森県,上北郡六戸町,男,5358
青森県,上北郡六戸町,女,5555
青森県,上北郡横浜町,計,4319
青森県,上北郡横浜町,男,2173
青森県,上北郡横浜町,女,2146
青森県,上北郡東北町,計,16934
青森県,上北郡東北町,男,8189
青森県,上北郡東北町,女,8745
青森県,上北郡六ヶ所村,計,9999
青森県,上北郡六ヶ所村,男,5447
青森県,上北郡六ヶ所村,女,4552
青森県,上北郡おいらせ町,計,25324
青森県,上北郡おいらせ町,男,12221
青森県,上北郡おいらせ町,女,13103
青森県,下北郡,計,14574
青森県,下北郡,男,7420
青森県,下北郡,女,7154
青森県,下北郡大間町,計,4972
青森県,下北郡大間町,男,2530
青森県,下北郡大間町,女,2442
青森県,下北郡東通村,計,6037
青森県,下北郡東通村,男,3123
青森県,下北郡東通村,女,2914
青森県,下北郡風間浦村,計,1740
青森県,下北郡風間浦村,男,852
青森県,下北郡風間浦村,女,888
青森県,下北郡佐井村,計,1825
青森県,下北郡佐井村,男,915
青森県,下北郡佐井村,女,910
青森県,三戸郡,計,63654
青森県,三戸郡,男,30884
青森県,三戸郡,女,32770
青森県,三戸郡三戸町,計,9456
青森県,三戸郡三戸町,男,4540
青森県,三戸郡三戸町,女,4916
青森県,三戸郡五戸町,計,16388
青森県,三戸郡五戸町,男,7902
青森県,三戸郡五戸町,女,8486
青森県,三戸郡田子町,計,5145
青森県,三戸郡田子町,男,2503
青森県,三戸郡田子町,女,2642
青森県,三戸郡南部町,計,17301
青森県,三戸郡南部町,男,8235
青森県,三戸郡南部町,女,9066
青森県,三戸郡階上町,計,13064
青森県,三戸郡階上町,男,6564
青森県,三戸郡階上町,女,6500
青森県,三戸郡新郷村,計,2300
青森県,三戸郡新郷村,男,1140
青森県,三戸郡新郷村,女,1160
岩手県,-,計,1206479
岩手県,-,男,581809
岩手県,-,女,624670
岩手県,盛岡市,計,285270
岩手県,盛岡市,男,134636
岩手県,盛岡市,女,150634
岩手県,宮古市,計,49274
岩手県,宮古市,男,23697
岩手県,宮古市,女,25577
岩手県,大船渡市,計,34285
岩手県,大船渡市,男,16464
岩手県,大船渡市,女,17821
岩手県,花巻市,計,93493
岩手県,花巻市,男,44735
岩手県,花巻市,女,48758
岩手県,北上市,計,92413
岩手県,北上市,男,46133
岩手県,北上市,女,46280
岩手県,久慈市,計,33344
岩手県,久慈市,男,16150
岩手県,久慈市,女,17194
岩手県,遠野市,計,25526
岩手県,遠野市,男,12354
岩手県,遠野市,女,13172
岩手県,一関市,計,111792
岩手県,一関市,男,54263
岩手県,一関市,女,57529
岩手県,陸前高田市,計,18338
岩手県,陸前高田市,男,8835
岩手県,陸前高田市,女,9503
岩手県,釜石市,計,31413
岩手県,釜石市,男,14956
岩手県,釜石市,女,16457
岩手県,二戸市,計,25665
岩手県,二戸市,男,12177
岩手県,二戸市,女,13488
岩手県,八幡平市,計,24287
岩手県,八幡平市,男,11681
岩手県,八幡平市,女,12606
岩手県,奥州市,計,113162
岩手県,奥州市,男,55064
岩手県,奥州市,女,58098
岩手県,滝沢市,計,55642
岩手県,滝沢市,男,27397
岩手県,滝沢市,女,28245
岩手県,岩手郡,計,33965
岩手県,岩手郡,男,16483
岩手県,岩手郡,女,17482
岩手県,岩手郡雫石町,計,15795
岩手県,岩手郡雫石町,男,7605
岩手県,岩手郡雫石町,女,8190
岩手県,岩手郡葛巻町,計,5745
岩手県,岩手郡葛巻町,男,2819
岩手県,岩手郡葛巻町,女,2926
岩手県,岩手郡岩手町,計,12425
